id,year,month,official_id,title,company,director,result,province,type,summary,source,,
2020-12-25,2020,12,影剧备字〔2021〕第762号,疯狂直播间,"深圳市风之花语文化传媒有限公司
北京非凡影画文化传媒有限公司",马艺华,同意拍摄,广东省,故事影片,因为新助理强子业务不熟练，导致直播人气王甜甜大佬努力维持的人设不断翻车，在外有新人夹击和内有助理帮倒忙的情况下，甜甜大佬直播间发生的一系列疯狂事情。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-26,2020,12,影剧备字〔2021〕第747号,站那，别跑,深圳市中汇影视文化传播股份有限公司,吴海鑫,同意拍摄,广东省,故事影片,这是一个落魄工厂里，一个留守的保卫干事，用滑稽的方法与残酷的现实作斗争、坚守在工厂最后一道防线的故事。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-27,2020,12,影剧备字〔2021〕第763号,来，看着我,喜宝影视文化产业（珠海）有限公司,蔡郁苇,同意拍摄,广东省,故事影片,郝文和丈夫梁克平都处在事业上升期。三岁的儿子动动被确诊为自闭症，郝文不得不放弃她的首席乐手梦想，成为全职妈妈，陪伴儿子走上艰难的治疗之路。儿子一天天在进步，郝文也得到了重回舞台的机会。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-28,2020,12,影剧备字〔2021〕第706号,首饰盒的秘密,中影（深圳）国际文化传媒有限公司,"王皓明
周愉栖",同意拍摄,广东省,故事影片,6岁的盒子一直跟着做珠宝设计师的单亲母亲在深圳生活。可原本幸福快乐的小日子却因母亲患上肝癌发生了改变。母亲用生命所剩下为数不多的时间竭尽所能为儿子铺好后路，儿子也迅速成长，完成了母亲对他的期望。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-29,2020,12,影剧备字〔2021〕第732号,美丽的风景留给未来的你,贵州山水画影视传媒有限公司,江柯,同意拍摄,贵州省,故事影片,2009年，为了圆自己的支教梦，他从大城市来到贵西县边远山区扎下根子；支教结束，原本可以远走高飞的他，选择继续留在深山任教，目的很简单——让更多孩子能走出大山。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-30,2020,12,影剧备字〔2021〕第800号,拳击台,"河北缔杰影视传媒有限公司
河北缔杰影视传媒有限公司",肖洪涛（笔名肖杰蓝）,同意拍摄,河北省,故事影片,讲述了来自太行腹地深山的武林小子叶辰和燕赵古城武术之乡拳击协会大叔陈泽凯在邯郸古城相遇，为了亲人为了弘扬中华武术在拳击台上共同演绎了一段拳击大赛激情征程的故事。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-31,2020,12,影剧备字〔2021〕第798号,宅门女人之危险关系,"河北捷翔影视文化传媒有限公司
北京帝影影业有限公司
河北捷翔影视文化传媒有限公司",李涛亮,同意拍摄,河北省,故事影片,1916年民国时期，河北定州宋家大宅门世代以生产定瓷名扬天下，宋怀死后本应宋德当家，可是当家作主的重任交由当年宋怀的大丫鬟李萍，宋德启程南上，大太太廖雪梅表面清心礼佛，实质上是一切矛盾的源头……,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-32,2020,12,影剧备字〔2021〕第734号,你好，鸽先生,"河北盛达琳影视文化传播有限公司
河北盛达琳影视文化传播有限公司",刘泳辰（刘鹏飞）,同意拍摄,河北省,故事影片,本片讲述了赛鸽人高建鹏，因新一届鸽赛，在与发小杨步成斗智斗勇的过程中，偶遇女主播温淼，从而引发了一系列啼笑皆非的故事。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-33,2020,12,影剧备字〔2021〕第799号,恐怖小车,河北搜者文化传媒有限公司,贾林,同意拍摄,河北省,故事影片,陈胜是一名旅游者。这次，他独自开车，行进在一片杳无人烟的戈壁滩里。不料，小车撞到了一个地下生物，厄运连连。最后，在爱的力量的帮助下，陈胜安然脱困。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-34,2020,12,影剧备字〔2021〕第720号,金缕玉衣,湖北凤舞天下影业股份有限公司,刘美佳子（笔名：白少邪）,同意拍摄,湖北省,故事影片,刑侦队长罗柴在侦查一起离奇命案时，发现了一起盗墓案，通过侦察，他查明了以秦震为首的盗墓团伙，他们盗得古墓中一件汉代金缕玉衣企图偷运出境。专案组将盗墓团伙一网打尽，破获了命案，保护了国宝级文物。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-35,2020,12,影剧备字〔2021〕第718号,筑梦前行,武汉昶盛广告传播有限公司,邹立辉,同意拍摄,湖北省,故事影片,彭莹琳、欧阳卫、赵晓成、兰艳是大学同学也是老乡。四个怀着为建设美丽家乡梦想的年轻人，毕业后选择了各自不同的人生道路。多年后，又让他们走到了一起，每个人付出了各自辛苦克服了种种困难，实现了曾经年时的梦想,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-36,2020,12,影剧备字〔2021〕第717号,女人为花,武汉悦铃盒子文化传媒有限责任公司,孟春林,同意拍摄,湖北省,故事影片,陆小静为了给母亲治病，向民间木雕大师学习木雕，与老师的儿子相爱却不得善终，她回到老家后不再碰雕刻刀，生下了女儿小蕊，木雕坊的新老板徐力的到来，改变了陆小静和这个小乡村，女人们都学起了木雕。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-37,2020,12,影剧备字〔2021〕第722号,尚武门,湖南白度母影视文化有限责任公司,温国庆,同意拍摄,湖南省,故事影片,民国年间，社会动荡不安，造成了很多无家可归的孤儿。易天是一名孤儿，被好心人（易南）收养后拜入其师弟（宋振）门下习武，在一次次打抱不平之下卷入了一场与恶势力的斗争中，最终赢得胜利并兴起习武之风的故事。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-38,2020,12,影剧备字〔2021〕第794号,你好，海王星,湖南森纳影业有限公司,袁烨,同意拍摄,湖南省,故事影片,一部讲述了情感、勇气和理解的故事。热爱音乐却时日不多的琪琪和丧失生活希望的音乐制作人刘一鸣，两人踏上了一场关于音乐的治愈之旅。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-39,2020,12,影剧备字〔2021〕第759号,明天的我与昨天的你约会,凤凰传奇影业有限公司,畅游,同意拍摄,江苏省,故事影片,江南山与李艾在公交车上一见钟情，却在热恋中逐步发现两人的时间流向是相反的，南山的最后一天是李艾的第一天。在这短短的一个月热恋中，两人创造了足以铭记一生的恋爱，也在理想与现实的人生迷茫中坚定了方向。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-40,2020,12,影剧备字〔2021〕第767号,黄沙遮目,苏州金梧桐影视有限公司,张晶晶,同意拍摄,江苏省,故事影片,本片是一个寻找自我和认可自我的故事。讲述齐轶轩在去往罗布泊后，历尽艰辛回到家中却发现家中已有另一个自己。他本以为那人是传说中的复制人，到后来却发现也许自己才是复制人，也许自己随时会消失。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-41,2020,12,影剧备字〔2021〕第758号,25小时,无锡加雄影业有限公司,杨江,同意拍摄,江苏省,故事影片,军火走私犯赵志国越狱偷渡回国，企图利用自己埋藏在固岗镇的军火和资金东山再起，他召集旧部同伙一同前往。公安部门迅速追查，双方在固岗镇相遇并展开激烈对战。最终，赵志国一行被抓获，受到了法律的制裁。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-42,2020,12,影剧备字〔2021〕第760号,津门教父,煦世电影（苏州）有限公司,欧阳雯,同意拍摄,江苏省,故事影片,30年代的天津，天津卫的第一帮派老二张景岳成了被暗杀对象，为了寻找真凶，张景岳与警探秦越合作，共同的目标让两个原本水火不容的人联合在一起，在面对连环杀人案的背后阴谋时，二人做出了自己应做的决定。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-43,2020,12,影剧备字〔2021〕第751号,一定拿到手,大连金豆影业有限公司,"金桂斌
刘凤奇
吕丽菊",同意拍摄,辽宁省,故事影片,衣锦关键聂兰梅三人结伴回乡，一路上意外蹊跷之事接连发生，三人互相埋怨猜疑，紧接着又遭到以绍郎剑和铲哥为首的两伙贼人追踪，不知不觉三人被卷进一场稀世珍宝“双璜合璧”争夺大战。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-44,2020,12,影剧备字〔2021〕第757号,兴安岭上,鄂伦春自治旗乌力楞文化旅游投资有限公司,刘涛,同意拍摄,内蒙古自治区,故事影片,讲述了鄂伦春部落首领盖尔山和抗联将领王大虎与日本侵略者的斗争中结下深厚革命友谊，义结金兰。并带领鄂伦春族人在嫩江、讷河、德都、阿荣旗一带协助东北抗联共同抗击日本侵略者的故事。,http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
2020-12-45,2020,12,影剧备字〔2021〕第756号,忠诚扈卫,"内蒙古电影集团有限责任公司
内蒙古电影制片厂有限责任公司",张秉毅,同意拍摄,内蒙古自治区,故事影片,"为了保护“成吉思汗”陵避免受日本侵略者的劫难，在中国共产党和国民政府的大力支持下,在成吉思汗的忠诚卫士“达尔扈特”人的浴血奋战下，“成吉思汗”陵离开伊金霍洛，踏上西迁之路。",http://www.chinafilm.gov.cn/chinafilm/contents/167/2842.shtml,,
